Rok,tys. PLN,,,,,,,,,,2017,2018,2019,2020
2008,134091160,,,,,,,,,,"159,098,094","181,487,204","199,895,393","184,294,701"
2009,119100093,,,,,,,,,,,,,
2010,114075302,,,,,,,,,,,,,
2011,130688663,,,,,,,,,,,,,
2012,128096794,,,,,,,,,,,,,
2013,132955702,,,,,,,,,,,,,
2014,150294185,,,,,,,,,,,,,
2015,167157080,,,,,,,,,,,,,
2016,149086791,,,,,,,,,,,,,
2017,159098094,,,,,,,,,,,,,
2018,181487204,,,,,,,,,,,,,
2019,199895393,,,,,,,,,,,,,
2020,184294701,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
